client_id,produit,revenus_annuels,cout_gestion_annuel,profit_annuel
CLI_0001,Compte Courant,45.58,24.93,20.64
CLI_0001,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0001,Livret A,20.69,5.0,15.69
CLI_0001,Assurance Vie,379.76,112.32,267.44
CLI_0001,Assurance Auto,387.72,67.0,320.72
CLI_0002,Compte Courant,41.03,15.25,25.78
CLI_0002,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0002,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0002,Livret A,58.56,5.0,53.56
CLI_0002,Crédit Consommation,1103.47,186.18,917.28
CLI_0002,Assurance Auto,479.82,87.95,391.87
CLI_0003,Compte Courant,45.36,16.37,28.99
CLI_0003,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0003,Compte Épargne,84.1,23.75,60.35
CLI_0003,Livret A,69.27,5.0,64.27
CLI_0003,Assurance Vie,748.85,103.69,645.16
CLI_0003,Crédit Consommation,954.99,94.58,860.41
CLI_0003,Assurance Habitation,302.13,85.14,216.99
CLI_0004,Compte Courant,43.58,17.43,26.15
CLI_0004,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0004,Compte Épargne,137.74,34.86,102.88
CLI_0004,Livret A,73.99,5.0,68.99
CLI_0004,Assurance Vie,691.04,149.04,542.0
CLI_0004,Crédit Consommation,472.96,90.41,382.55
CLI_0004,Assurance Auto,334.8,67.74,267.06
CLI_0005,Compte Courant,45.69,21.33,24.36
CLI_0005,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0005,Compte Épargne,107.83,25.18,82.64
CLI_0005,Assurance Habitation,377.21,51.06,326.15
CLI_0005,Assurance Auto,339.21,103.14,236.07
CLI_0006,Compte Courant,53.01,19.16,33.85
CLI_0006,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0006,Compte Épargne,51.69,32.36,19.33
CLI_0006,Assurance Vie,237.86,60.79,177.07
CLI_0007,Compte Courant,49.51,18.12,31.38
CLI_0007,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0007,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0007,Livret A,40.88,5.0,35.88
CLI_0007,Assurance Habitation,271.7,98.93,172.77
CLI_0007,Assurance Auto,586.18,84.98,501.2
CLI_0008,Compte Courant,37.96,18.03,19.94
CLI_0008,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0008,Assurance Vie,361.27,103.22,258.04
CLI_0008,Crédit Immobilier,3624.01,446.63,3177.38
CLI_0008,Assurance Habitation,252.0,60.56,191.43
CLI_0009,Compte Courant,44.48,18.41,26.06
CLI_0009,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0009,Assurance Vie,524.96,117.52,407.44
CLI_0009,Assurance Habitation,308.33,73.12,235.2
CLI_0009,Assurance Auto,422.42,77.09,345.33
CLI_0010,Compte Courant,30.73,21.25,9.48
CLI_0010,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0010,Compte Épargne,75.26,33.38,41.88
CLI_0010,Livret A,64.82,5.0,59.82
CLI_0010,Assurance Habitation,378.98,97.91,281.08
CLI_0011,Compte Courant,30.32,24.9,5.41
CLI_0011,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0011,Compte Épargne,118.3,32.87,85.43
CLI_0011,Livret A,20.91,5.0,15.91
CLI_0011,Assurance Auto,544.49,68.73,475.76
CLI_0012,Compte Courant,55.12,15.16,39.96
CLI_0012,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0012,Livret A,58.76,5.0,53.76
CLI_0012,Assurance Vie,460.88,70.08,390.8
CLI_0012,Crédit Consommation,396.81,132.82,263.99
CLI_0013,Compte Courant,33.7,19.86,13.83
CLI_0013,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0013,Crédit Consommation,862.7,179.29,683.41
CLI_0014,Compte Courant,50.36,15.65,34.71
CLI_0014,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0014,Compte Épargne,80.74,25.76,54.98
CLI_0014,Livret A,74.9,5.0,69.9
CLI_0014,Assurance Habitation,366.95,68.51,298.44
CLI_0015,Compte Courant,32.13,23.94,8.19
CLI_0015,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0015,Compte Épargne,138.82,37.09,101.72
CLI_0015,Crédit Immobilier,4457.79,444.08,4013.71
CLI_0015,Assurance Habitation,194.36,73.87,120.48
CLI_0015,Assurance Auto,397.84,89.4,308.44
CLI_0016,Compte Courant,46.16,17.58,28.59
CLI_0016,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0016,Compte Épargne,86.62,28.68,57.94
CLI_0016,Assurance Auto,252.45,87.32,165.13
CLI_0017,Compte Courant,54.31,23.28,31.03
