client_id,cout_acquisition,anciennete_mois,revenus_transactions,revenus_annuels,cout_gestion_annuel,revenus_totaux,couts_totaux,profit_net,segment_calcule
CLI_0001,111.4,68,5.34,878.75,219.25,884.09,220.86449275362318,663.2255072463769,VIP
CLI_0002,149.4,35,2.5,1847.88,324.38,1850.38,328.53,1521.8500000000001,VIP
CLI_0003,281.25,32,1.3,2249.7,338.53,2251.0,347.0527272727272,1903.9472727272728,VIP
CLI_0004,149.91,27,3.06,1799.11,374.47999999999996,1802.1699999999998,379.83392857142854,1422.3360714285714,VIP
CLI_0005,112.63,60,4.79,914.9399999999999,210.71,919.7299999999999,212.55639344262295,707.173606557377,VIP
CLI_0006,339.85,5,2.8,387.56,122.31,390.36,178.95166666666668,211.40833333333333,Standard
CLI_0007,133.97,45,2.5,1113.27,237.03000000000003,1115.77,239.94239130434786,875.8276086956521,VIP
CLI_0008,173.21,53,0.0,4320.24,638.44,4320.24,641.6475925925927,3678.5924074074073,VIP
CLI_0009,166.34,9,2.98,1345.19,296.14,1348.17,312.774,1035.3960000000002,VIP
CLI_0010,138.51,44,0.5,594.79,167.54,595.29,170.618,424.67199999999997,Standard
CLI_0011,84.03,60,0.0,759.02,141.5,759.02,142.87754098360656,616.1424590163934,VIP
CLI_0012,112.53,27,3.3,1016.5699999999999,233.06,1019.8699999999999,237.07892857142858,782.7910714285713,VIP
CLI_0013,281.29,24,0.0,941.4000000000001,209.14999999999998,941.4000000000001,220.40159999999997,720.9984000000002,VIP
CLI_0014,96.71,59,2.5,617.95,124.92000000000002,620.45,126.53183333333335,493.9181666666667,Standard
CLI_0015,143.89,36,2.0,5265.94,678.38,5267.94,682.2689189189189,4585.671081081081,VIP
CLI_0016,129.33,44,1.0,430.23,143.57999999999998,431.23,146.45399999999998,284.77600000000007,Standard
CLI_0017,169.47,16,1.1,781.81,273.37,782.91,283.3388235294118,499.57117647058817,Standard
CLI_0018,187.98,71,6.16,657.84,183.59,664.0,186.20083333333335,477.7991666666667,Standard
CLI_0019,82.62,38,1.0,174.76999999999998,49.81,175.76999999999998,51.92846153846154,123.84153846153845,Standard
