transaction_id,client_id,date_transaction,type_transaction,montant,frais_generes
TRX_000001,CLI_0001,2025-04-28,Retrait DAB,78.4,1.5
TRX_000002,CLI_0001,2021-02-03,Dépôt,627.96,0.0
TRX_000003,CLI_0001,2024-08-20,Chèque,919.72,0.3
TRX_000004,CLI_0001,2021-08-23,Virement,2782.33,1.0
TRX_000005,CLI_0001,2022-01-29,Paiement carte,369.61,0.74
TRX_000006,CLI_0001,2024-05-08,Dépôt,725.79,0.0
TRX_000007,CLI_0001,2023-12-15,Virement,2097.81,1.0
TRX_000008,CLI_0001,2025-06-22,Virement,715.27,0.5
TRX_000009,CLI_0001,2021-08-18,Chèque,254.17,0.3
TRX_000010,CLI_0001,2024-11-04,Dépôt,1663.35,0.0
TRX_000011,CLI_0001,2024-08-20,Virement reçu,2965.71,0.0
TRX_000012,CLI_0002,2024-06-10,Paiement carte,351.61,0.7
TRX_000013,CLI_0002,2024-05-24,Chèque,274.09,0.3
TRX_000014,CLI_0002,2025-02-02,Retrait DAB,199.62,1.5
TRX_000015,CLI_0002,2023-04-24,Prélèvement,296.84,0.0
TRX_000016,CLI_0003,2026-02-16,Prélèvement,900.91,0.0
TRX_000017,CLI_0003,2025-07-31,Virement,1556.71,1.0
TRX_000018,CLI_0003,2025-08-05,Chèque,306.99,0.3
TRX_000019,CLI_0003,2024-11-04,Prélèvement,440.74,0.0
TRX_000020,CLI_0004,2025-11-22,Dépôt,1756.48,0.0
TRX_000021,CLI_0004,2025-11-30,Prélèvement,800.99,0.0
TRX_000022,CLI_0004,2025-01-20,Prélèvement,184.05,0.0
TRX_000023,CLI_0004,2025-06-28,Retrait DAB,172.76,1.5
TRX_000024,CLI_0004,2026-02-12,Retrait DAB,49.57,1.5
TRX_000025,CLI_0004,2025-01-03,Paiement carte,32.19,0.06
TRX_000026,CLI_0004,2025-06-09,Virement reçu,3316.29,0.0
TRX_000027,CLI_0005,2023-03-05,Retrait DAB,42.97,1.5
TRX_000028,CLI_0005,2022-08-17,Retrait DAB,29.78,1.5
TRX_000029,CLI_0005,2024-01-14,Paiement carte,494.98,0.99
TRX_000030,CLI_0005,2023-10-10,Virement,247.1,0.5
TRX_000031,CLI_0005,2025-08-30,Virement reçu,2278.19,0.0
TRX_000032,CLI_0005,2023-10-17,Chèque,554.16,0.3
TRX_000033,CLI_0006,2025-11-29,Prélèvement,978.42,0.0
TRX_000034,CLI_0006,2025-12-12,Retrait DAB,242.27,1.5
TRX_000035,CLI_0006,2025-12-23,Virement,3331.17,1.0
TRX_000036,CLI_0006,2026-01-31,Chèque,620.03,0.3
TRX_000037,CLI_0006,2025-11-04,Virement reçu,4343.9,0.0
TRX_000038,CLI_0007,2023-03-15,Virement,4927.36,1.0
TRX_000039,CLI_0007,2023-11-06,Dépôt,1547.61,0.0
TRX_000040,CLI_0007,2025-08-29,Dépôt,897.0,0.0
TRX_000041,CLI_0007,2024-09-22,Retrait DAB,145.0,1.5
TRX_000042,CLI_0008,2022-08-03,Prélèvement,363.77,0.0
TRX_000043,CLI_0008,2023-08-01,Prélèvement,586.02,0.0
TRX_000044,CLI_0009,2025-12-09,Dépôt,1872.14,0.0
TRX_000045,CLI_0009,2025-10-01,Paiement carte,347.65,0.7
TRX_000046,CLI_0009,2025-11-17,Retrait DAB,250.52,1.5
TRX_000047,CLI_0009,2026-02-03,Virement reçu,2825.33,0.0
TRX_000048,CLI_0009,2026-02-04,Paiement carte,391.96,0.78
TRX_000049,CLI_0009,2025-08-23,Virement reçu,179.38,0.0
TRX_000050,CLI_0009,2025-11-25,Prélèvement,827.46,0.0
TRX_000051,CLI_0009,2025-08-08,Virement reçu,296.68,0.0
TRX_000052,CLI_0010,2025-07-30,Paiement carte,251.19,0.5
TRX_000053,CLI_0011,2022-03-30,Dépôt,1321.58,0.0
TRX_000054,CLI_0012,2025-09-22,Virement,3850.28,1.0
TRX_000055,CLI_0012,2025-05-24,Virement,1339.83,1.0
TRX_000056,CLI_0012,2024-02-19,Chèque,879.01,0.3
TRX_000057,CLI_0012,2025-10-19,Virement,603.93,0.5
TRX_000058,CLI_0012,2026-01-25,Virement,717.18,0.5
TRX_000059,CLI_0013,2025-04-11,Prélèvement,690.15,0.0
TRX_000060,CLI_0013,2025-11-20,Prélèvement,854.54,0.0
TRX_000061,CLI_0014,2021-09-01,Virement reçu,3414.77,0.0
TRX_000062,CLI_0014,2022-02-18,Virement,3011.78,1.0
TRX_000063,CLI_0014,2022-07-06,Dépôt,1226.14,0.0
TRX_000064,CLI_0014,2023-11-04,Retrait DAB,211.11,1.5
TRX_000065,CLI_0015,2023-06-18,Dépôt,886.67,0.0
TRX_000066,CLI_0015,2025-10-31,Virement reçu,1452.02,0.0
TRX_000067,CLI_0015,2025-11-10,Virement,3866.05,1.0
TRX_000068,CLI_0015,2023-02-28,Dépôt,491.23,0.0
TRX_000069,CLI_0015,2025-06-06,Virement,3492.54,1.0
TRX_000070,CLI_0015,2023-03-21,Dépôt,505.0,0.0
TRX_000071,CLI_0015,2024-08-30,Dépôt,1269.39,0.0
TRX_000072,CLI_0016,2024-02-22,Virement,3295.95,1.0
TRX_000073,CLI_0017,2025-07-07,Chèque,685.38,0.3
TRX_000074,CLI_0017,2025-10-15,Virement reçu,1140.44,0.0
TRX_000075,CLI_0017,2025-05-31,Chèque,209.81,0.3
TRX_000076,CLI_0017,2026-02-16,Prélèvement,716.31,0.0
TRX_000077,CLI_0017,2024-12-16,Virement,655.86,0.5
TRX_000078,CLI_0017,2025-07-18,Prélèvement,997.06,0.0
TRX_000079,CLI_0018,2022-12-30,Prélèvement,614.43,0.0
TRX_000080,CLI_0018,2023-02-14,Chèque,470.24,0.3
TRX_000081,CLI_0018,2024-04-07,Retrait DAB,55.39,1.5
TRX_000082,CLI_0018,2024-09-28,Virement,236.44,0.5
TRX_000083,CLI_0018,2024-06-23,Paiement carte,315.14,0.63
TRX_000084,CLI_0018,2025-06-10,Dépôt,1623.18,0.0
TRX_000085,CLI_0018,2023-01-08,Virement reçu,4225.88,0.0
TRX_000086,CLI_0018,2022-10-29,Retrait DAB,155.16,1.5
TRX_000087,CLI_0018,2021-03-13,Virement reçu,3909.53,0.0
TRX_000088,CLI_0018,2020-08-24,Virement,3396.95,1.0
TRX_000089,CLI_0018,2024-11-02,Paiement carte,364.88,0.73
TRX_000090,CLI_0019,2025-02-10,Dépôt,1285.15,0.0
TRX_000091,CLI_0019,2025-08-31,Virement,4047.08,1.0
TRX_000092,CLI_0019,2023-01-19,Virement reçu,2049.63,0.0
TRX_000093,CLI_0020,2022-03-30,Virement,2926.72,1.0
TRX_000094,CLI_0020,2025-12-05,Chèque,607.53,0.3
TRX_000095,CLI_0020,2025-03-10,Virement reçu,2551.36,0.0
TRX_000096,CLI_0020,2024-01-14,Dépôt,185.32,0.0
TRX_000097,CLI_0020,2021-05-23,Dépôt,225.26,0.0
TRX_000098,CLI_0020,2020-10-19,Prélèvement,620.87,0.0
TRX_000099,CLI_0021,2023-03-16,Chèque,925.54,0.3
TRX_000100,CLI_0021,2025-11-25,Dépôt,842.85,0.0
TRX_000101,CLI_0021,2024-09-07,Retrait DAB,60.12,1.5
TRX_000102,CLI_0022,2023-04-29,Virement,4958.12,1.0
TRX_000103,CLI_0022,2024-08-20,Dépôt,1467.34,0.0
TRX_000104,CLI_0022,2023-04-01,Prélèvement,795.53,0.0
TRX_000105,CLI_0022,2024-10-29,Virement,4972.63,1.0
TRX_000106,CLI_0023,2026-02-27,Prélèvement,802.58,0.0
TRX_000107,CLI_0023,2025-02-09,Prélèvement,692.54,0.0
TRX_000108,CLI_0023,2025-07-28,Chèque,711.67,0.3
TRX_000109,CLI_0023,2025-06-17,Chèque,951.33,0.3
TRX_000110,CLI_0023,2024-07-30,Virement,1549.54,1.0
TRX_000111,CLI_0023,2024-04-20,Prélèvement,51.06,0.0
TRX_000112,CLI_0023,2025-01-16,Prélèvement,308.36,0.0
TRX_000113,CLI_0023,2025-01-19,Chèque,296.1,0.3
TRX_000114,CLI_0023,2025-11-04,Paiement carte,334.3,0.67
TRX_000115,CLI_0024,2025-09-15,Dépôt,1207.25,0.0
TRX_000116,CLI_0024,2024-09-26,Paiement carte,17.96,0.04
TRX_000117,CLI_0024,2025-12-04,Virement reçu,3671.01,0.0
TRX_000118,CLI_0025,2024-04-29,Chèque,698.55,0.3
TRX_000119,CLI_0026,2020-12-12,Dépôt,718.33,0.0
TRX_000120,CLI_0026,2023-12-12,Virement,759.42,0.5
TRX_000121,CLI_0026,2021-03-01,Paiement carte,56.27,0.11
TRX_000122,CLI_0026,2022-09-02,Chèque,848.37,0.3
TRX_000123,CLI_0026,2020-12-02,Retrait DAB,277.15,1.5
TRX_000124,CLI_0027,2025-06-05,Chèque,386.44,0.3
TRX_000125,CLI_0027,2025-06-23,Dépôt,1793.82,0.0
TRX_000126,CLI_0027,2024-04-04,Chèque,680.41,0.3
TRX_000127,CLI_0028,2023-06-08,Virement,166.81,0.5
TRX_000128,CLI_0028,2025-02-27,Retrait DAB,110.36,1.5
TRX_000129,CLI_0029,2025-10-03,Paiement carte,82.63,0.17
TRX_000130,CLI_0029,2025-02-17,Retrait DAB,45.79,1.5
